selected_name,created_at,text,country,location,followers,friends,listed_count,favourites_count,verified,statuses_count,contributors_enabled,profile_image_url,
👁👄👁,Fri Jan 17 19:20:03 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Turkey,General,88,592,0,33162,False,15787,False,http://pbs.twimg.com/profile_images/1217826437299949568/E7QjNb9Y_normal.jpg,
Andelib,Fri Jan 17 19:20:09 +0000 2020,@CompanionsOfWho 1) Doctor 1)  Donna 3) Noble 😁,Türkiye,İstanbul,1065,643,2,13806,False,25361,False,http://pbs.twimg.com/profile_images/1217163586054885378/UAM-fUNf_normal.jpg,
Clark County WA_PH,Fri Jan 17 19:20:15 +0000 2020,RT @CDCFlu: According to the latest CDC #FluSight forecast there is a 60% chance that flu activity has peaked but that doesn’t mean flu s…,Turkey,General,2034,328,92,310,False,2783,False,http://pbs.twimg.com/profile_images/1002618158899793921/8AcdyIKr_normal.jpg,
Ⓜad Art Tattoo™,Fri Jan 17 19:20:22 +0000 2020,Hutbe,Türkiye,İstanbul,4578,1274,46,35153,False,122967,False,http://pbs.twimg.com/profile_images/799649511325003779/HbblVAVq_normal.jpg,
Ali TopOne,Fri Jan 17 19:20:22 +0000 2020,Throw back to December 2019#Shahdağ..I was about to break my fingers in that day with snow! 🌨❄🥶 #azerbaijan… https://t.co/Nk67KQlvmU,Azerbaijan,Azerbaijan,919,245,0,3486,False,11269,False,http://pbs.twimg.com/profile_images/1212346805796712448/Hv0vjLhZ_normal.jpg,
Michael Bousquet,Fri Jan 17 19:20:33 +0000 2020,RT @iotapup: Just remember if you didn't get a flu shot prior to MAL or the Atlantis cruise you're selfish and risking everyone else's he…,Turkey,General,144,342,3,9772,False,6506,False,http://pbs.twimg.com/profile_images/1473646974/Fry_on_coffee_normal.jpg,
Dallas County HHS,Fri Jan 17 19:20:33 +0000 2020,@DCHHS provides free #flu vaccines for Dallas County employees!  #FluSeason #FluShot #VaccinesWork https://t.co/z9pd8NtWWo,United States,Frank Crowley Courts Building,2464,389,125,4321,True,4368,False,http://pbs.twimg.com/profile_images/591330493498437632/pDBABsvD_normal.jpg,
liv,Fri Jan 17 19:20:41 +0000 2020,RT @PimpNotSimp: Ion kno who Flu Shots is but free him fr 🤧💯 https://t.co/dCRLbkxa9n,Turkey,General,16,29,0,114,False,43,False,http://pbs.twimg.com/profile_images/1209304009867243520/boM8UZWf_normal.jpg,
aik,Fri Jan 17 19:20:55 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Turkey,General,890,694,2,904,False,59970,False,http://pbs.twimg.com/profile_images/1104415581506359297/NrbDn02E_normal.jpg,
deyaareem,Fri Jan 17 19:20:55 +0000 2020,@shytigress @medo7093 @DerekPa56710094 @LudmilaKliegl @aziz559935 @lana74106654 @DasRozania @DonnaBrent10 @pelisoro… https://t.co/mi5LgTGCQQ,Iraq,Iraq,1139,2808,3,3030,False,4908,False,http://pbs.twimg.com/profile_images/984528896128319490/kDeDmsMb_normal.jpg,
